sample_id,pred_task1,pred_task2,pred_task3,pred_task4,pred_task5,pred_task6,pred_task7
0,1,0,2,3,2,1,2
1,1,0,3,1,2,1,2
2,1,0,3,1,2,1,2
3,1,0,2,3,2,1,2
4,1,0,2,3,2,1,2
5,1,0,3,1,2,1,2
6,1,0,3,1,2,1,2
7,1,0,3,1,2,1,2
8,1,0,0,0,1,2,0
9,1,0,2,3,2,1,2
10,1,0,2,3,2,1,2
11,1,0,2,3,2,1,2
12,1,0,2,3,2,1,2
13,1,0,3,1,2,1,2
14,1,0,0,0,2,2,1
15,1,0,2,3,2,1,2
16,1,0,2,3,2,1,2
17,1,0,2,3,2,1,2
18,1,0,1,2,1,1,1
19,1,0,2,3,2,1,2
20,1,0,2,3,2,1,2
21,1,0,3,1,2,1,2
22,0,0,1,2,2,2,1
23,1,0,2,3,2,1,2
24,1,0,2,3,2,1,2
25,1,0,2,3,2,1,2
26,1,0,2,3,2,1,2
27,1,0,2,3,2,1,2
28,1,0,2,3,2,2,1
29,1,0,1,2,1,1,1
30,0,0,4,5,2,2,1
31,1,0,3,1,2,1,2
32,1,0,2,3,2,1,2
33,1,0,2,3,2,1,2
34,1,0,2,3,2,1,2
35,1,0,2,3,2,1,2
36,1,0,1,2,1,1,1
37,1,0,3,1,2,1,2
38,1,0,1,2,1,1,1
39,1,0,3,1,2,1,2
40,1,0,3,1,2,1,2
41,1,0,1,2,1,1,1
42,0,0,1,2,1,1,1
43,1,0,2,3,2,1,2
44,1,0,1,2,0,0,0
45,1,0,3,1,2,1,2
46,1,0,2,3,2,1,2
47,1,0,2,3,2,1,2
48,1,0,2,3,2,1,2
49,0,0,1,2,2,2,1
50,1,0,2,3,2,1,2
51,1,0,3,1,2,1,2
52,1,0,1,2,0,0,1
53,1,0,3,1,2,1,2
54,1,0,3,1,2,1,2
55,1,0,2,3,2,1,2
56,1,0,1,2,1,1,1
57,1,0,3,1,2,1,2
58,1,0,1,2,0,0,1
59,1,0,3,1,2,1,2
60,1,0,3,1,2,1,2
61,1,0,3,1,2,1,2
62,1,0,2,3,2,1,2
63,1,0,1,2,1,2,1
64,1,0,2,3,2,1,2
65,1,0,3,1,2,1,2
66,1,0,2,3,2,1,2
67,1,0,2,3,2,1,2
68,1,0,4,5,2,2,2
69,1,0,2,3,2,1,2
70,1,0,1,2,1,2,1
71,1,0,1,2,1,1,1
72,1,0,3,1,2,1,1
73,1,0,3,1,2,1,2
74,1,0,1,2,1,1,1
75,1,0,2,3,2,1,1
76,1,0,3,1,2,1,2
77,0,0,4,5,2,2,1
78,1,0,1,2,1,1,1
79,0,0,1,2,1,1,1
80,1,0,2,3,2,1,2
81,0,0,4,6,1,2,1
82,1,0,2,3,1,2,1
83,1,0,2,3,2,1,1
84,1,0,2,3,2,1,2
85,1,0,1,2,1,1,1
86,1,0,3,1,2,1,2
87,1,0,3,1,2,1,2
88,1,0,3,1,2,1,2
89,1,0,2,3,2,1,2
90,1,0,3,1,2,1,2
91,1,0,3,1,2,1,2
92,1,0,2,3,2,1,2
93,1,0,1,2,1,1,1
94,1,0,1,2,1,1,1
95,1,0,1,2,1,1,1
96,1,0,3,1,2,1,2
97,1,0,2,3,2,1,2
98,1,0,2,3,2,1,2
99,1,0,3,1,2,1,2
100,1,0,1,2,1,1,1
101,1,0,2,3,2,1,2
102,1,0,0,0,2,2,1
