rank,global_index,compact_index,field
1,0,0,ip_len
2,1,1,ip_len
3,2,2,ip_len
4,3,3,ip_len
5,4,4,ip_len
6,6,6,ip_len
7,8,8,ip_len
8,10,10,ip_len
9,13,13,ip_len
10,14,14,ip_len
11,15,15,ip_len
12,16,16,ip_proto
13,17,17,ip_proto
14,18,18,ip_proto
15,20,20,ip_proto
16,21,21,ip_proto
17,26,26,ip_src
18,56,56,ip_dst
19,120,120,tcp_flags
20,121,121,tcp_flags
21,123,123,tcp_flags
22,124,124,tcp_flags
23,125,125,tcp_flags
24,147,131,ip_ttl
25,148,132,ip_ttl
26,149,133,ip_ttl
27,150,134,ip_flags
28,152,136,ip_flags
29,155,139,tcp_window
30,159,143,tcp_window
