local_feature_idx,global_feature_idx,field_name,feature_name,global_mean_abs_shap
0,0,ip_len,bit_0:ip_len,0.0
1,1,ip_len,bit_1:ip_len,0.0
2,2,ip_len,bit_2:ip_len,0.0
3,3,ip_len,bit_3:ip_len,0.0
4,4,ip_len,bit_4:ip_len,0.0
5,6,ip_len,bit_6:ip_len,0.0002826066126663305
6,8,ip_len,bit_8:ip_len,0.00047434068211439396
7,10,ip_len,bit_10:ip_len,0.00017683831882253946
8,13,ip_len,bit_13:ip_len,0.000713294516397941
9,14,ip_len,bit_14:ip_len,0.0008280056178705152
10,15,ip_len,bit_15:ip_len,0.0004385097728636717
11,16,ip_proto,bit_16:ip_proto,0.0
12,17,ip_proto,bit_17:ip_proto,0.0
13,18,ip_proto,bit_18:ip_proto,0.0
14,20,ip_proto,bit_20:ip_proto,0.0
15,21,ip_proto,bit_21:ip_proto,0.000312689843622396
16,26,ip_src,bit_26:ip_src,4.433985280172838e-05
17,56,ip_dst,bit_56:ip_dst,0.0008640999178802236
18,120,tcp_flags,bit_120:tcp_flags,0.0
19,121,tcp_flags,bit_121:tcp_flags,0.0001443204802203206
20,123,tcp_flags,bit_123:tcp_flags,0.00011642357241287142
21,124,tcp_flags,bit_124:tcp_flags,0.0001652703717155003
22,125,tcp_flags,bit_125:tcp_flags,0.0006709047359489183
23,147,ip_ttl,bit_147:ip_ttl,0.0007497375793784121
24,148,ip_ttl,bit_148:ip_ttl,0.0004890036053997002
25,149,ip_ttl,bit_149:ip_ttl,0.00041234334690796803
26,150,ip_flags,bit_150:ip_flags,0.0
27,152,ip_flags,bit_152:ip_flags,0.0
28,155,tcp_window,bit_155:tcp_window,0.0004707060735773612
29,159,tcp_window,bit_159:tcp_window,0.0005064431908170081
