rank,global_index,compact_index,field
1,28,28,ip_src
2,30,30,ip_src
3,31,31,ip_src
4,33,33,ip_src
5,35,35,ip_src
6,36,36,ip_src
7,40,40,ip_src
8,41,41,ip_src
9,43,43,ip_src
10,44,44,ip_src
11,45,45,ip_src
12,49,49,ip_src
13,52,52,ip_src
14,54,54,ip_src
15,55,55,ip_src
16,60,60,ip_dst
17,61,61,ip_dst
18,65,65,ip_dst
19,66,66,ip_dst
20,75,75,ip_dst
21,81,81,ip_dst
22,86,86,ip_dst
23,96,96,tcp_sport
24,99,99,tcp_sport
25,110,110,tcp_dport
26,113,113,tcp_dport
27,151,135,ip_flags
28,154,138,tcp_window
29,158,142,tcp_window
30,168,152,tcp_window
