rank,global_index,compact_index,field
1,5,5,ip_len
2,23,23,ip_proto
3,25,25,ip_src
4,29,29,ip_src
5,30,30,ip_src
6,31,31,ip_src
7,33,33,ip_src
8,35,35,ip_src
9,36,36,ip_src
10,48,48,ip_src
11,52,52,ip_src
12,55,55,ip_src
13,67,67,ip_dst
14,69,69,ip_dst
15,71,71,ip_dst
16,80,80,ip_dst
17,84,84,ip_dst
18,87,87,ip_dst
19,93,93,tcp_sport
20,97,97,tcp_sport
21,98,98,tcp_sport
22,107,107,tcp_dport
23,109,109,tcp_dport
24,111,111,tcp_dport
25,113,113,tcp_dport
26,114,114,tcp_dport
27,119,119,tcp_dport
28,162,146,tcp_window
29,165,149,tcp_window
30,166,150,tcp_window
