No         Predictions            Accuracy [%]
1          (1 0 3 1 2 1 2)             100.000
2          (1 0 3 1 2 1 2)              92.857
3          (1 0 2 3 2 1 2)              95.238
4          (1 0 2 3 2 1 2)              96.429
5          (1 0 3 1 2 1 2)              97.143
6          (1 0 3 1 2 1 2)              90.476
7          (1 0 3 1 2 1 2)              91.837
8          (1 0 0 0 1 2 0)              92.857
9          (1 0 2 3 2 1 2)              90.476
10         (1 0 2 3 2 1 2)              91.429
11         (1 0 2 3 2 1 2)              92.208
12         (1 0 2 3 2 1 2)              92.857
13         (1 0 3 1 2 1 2)              89.011
14         (1 0 0 0 2 2 1)              86.735
15         (1 0 2 3 2 1 2)              87.619
16         (1 0 2 3 2 1 2)              87.500
17         (1 0 2 3 2 1 2)              88.235
18         (1 0 1 2 1 1 1)              88.889
19         (1 0 2 3 2 1 2)              89.474
20         (1 0 2 3 2 1 2)              90.000
21         (1 0 3 1 2 1 2)              90.476
22         (0 0 1 2 2 2 1)              88.961
23         (1 0 2 3 2 1 2)              89.441
24         (1 0 2 3 2 1 2)              88.690
25         (1 0 2 3 2 1 2)              89.143
26         (1 0 2 3 2 1 2)              89.560
27         (1 0 2 3 2 1 2)              89.947
28         (1 0 2 3 2 2 1)              89.796
29         (1 0 1 2 1 1 1)              90.148
30         (0 0 4 5 2 2 1)              88.095
31         (1 0 3 1 2 1 2)              86.636
32         (1 0 2 3 2 1 2)              87.054
34         (1 0 2 3 2 1 2)              87.446
35         (1 0 2 3 2 1 2)              87.815
36         (1 0 1 2 1 1 1)              88.163
37         (1 0 3 1 2 1 2)              87.302
38         (1 0 1 2 1 1 1)              87.645
39         (1 0 3 1 2 1 2)              87.218
40         (1 0 3 1 2 1 2)              85.714
41         (1 0 1 2 1 1 1)              86.071
42         (0 0 1 2 1 1 1)              86.063
43         (1 0 2 3 2 1 2)              86.395
44         (1 0 1 2 0 0 0)              85.050
45         (1 0 3 1 2 1 2)              85.390
46         (1 0 2 3 2 1 2)              85.714
47         (1 0 2 3 2 1 2)              86.025
48         (1 0 2 3 2 1 2)              86.322
49         (0 0 1 2 2 2 1)              85.714
50         (1 0 2 3 2 1 2)              86.006
51         (1 0 3 1 2 1 2)              86.286
52         (1 0 1 2 0 0 1)              86.555
53         (1 0 3 1 2 1 2)              86.813
54         (1 0 3 1 2 1 2)              87.062
55         (1 0 2 3 2 1 2)              87.302
56         (1 0 1 2 1 1 1)              87.532
57         (1 0 3 1 2 1 2)              87.755
58         (1 0 1 2 0 0 1)              87.970
59         (1 0 3 1 2 1 2)              87.685
60         (1 0 3 1 2 1 2)              87.893
61         (1 0 3 1 2 1 2)              87.857
62         (1 0 2 3 2 1 2)              88.056
63         (1 0 1 2 1 2 1)              88.249
64         (1 0 2 3 2 1 2)              88.435
65         (1 0 3 1 2 1 2)              88.393
67         (1 0 2 3 2 1 2)              88.571
68         (1 0 4 5 2 2 2)              88.095
69         (1 0 2 3 2 1 2)              88.273
70         (1 0 1 2 1 2 1)              88.025
71         (1 0 1 2 1 1 1)              88.199
72         (1 0 3 1 2 1 1)              88.367
73         (1 0 3 1 2 1 2)              88.531
74         (1 0 1 2 1 1 1)              88.690
75         (1 0 2 3 2 1 1)              88.845
76         (1 0 3 1 2 1 2)              88.610
77         (0 0 4 5 2 2 1)              88.190
78         (1 0 1 2 1 1 1)              88.346
79         (0 0 1 2 1 1 1)              88.312
80         (1 0 2 3 2 1 2)              88.462
81         (0 0 4 6 1 2 1)              87.884
82         (1 0 2 3 1 2 1)              88.036
83         (1 0 2 3 2 1 1)              87.654
