No         Predictions            Accuracy [%]
0          (1 0 2 3 2 1 2)             100.000
1          (1 0 3 1 2 1 2)             100.000
2          (1 0 3 1 2 1 1)             100.000
3          (1 0 2 3 2 1 2)             100.000
4          (1 0 2 3 2 1 2)             100.000
5          (1 0 3 1 2 1 2)             100.000
6          (1 0 2 3 2 1 1)             100.000
7          (1 0 3 1 2 1 2)             100.000
8          (1 0 0 0 1 2 0)             100.000
9          (1 0 3 1 2 1 2)             100.000
10         (1 0 2 3 2 1 2)             100.000
11         (1 0 2 3 2 1 2)             100.000
12         (1 0 2 3 2 1 2)             100.000
13         (1 0 1 2 1 1 1)             100.000
14         (1 0 1 2 1 2 1)             100.000
15         (1 0 2 3 2 1 2)             100.000
16         (1 0 2 3 2 1 1)             100.000
17         (1 0 2 3 2 1 2)             100.000
18         (1 0 1 2 1 1 1)             100.000
19         (1 0 2 3 2 1 2)             100.000
20         (1 0 2 3 2 1 2)             100.000
21         (1 0 3 1 2 1 2)             100.000
22         (1 0 1 2 1 2 1)              99.379
23         (1 0 2 3 2 1 2)              99.405
24         (1 0 2 3 1 1 1)              99.429
25         (1 0 2 3 2 1 2)              99.451
26         (1 0 2 3 2 1 2)              99.471
27         (1 0 2 3 2 1 2)              99.490
28         (1 0 2 3 1 2 1)              99.507
29         (1 0 1 2 1 1 1)              99.524
30         (1 0 1 2 1 1 1)              99.539
31         (1 0 1 2 1 1 1)              99.554
32         (1 0 2 3 2 1 2)              99.567
33         (1 0 3 1 2 1 2)              99.580
34         (1 0 2 3 2 1 2)              99.592
35         (1 0 2 3 2 1 2)              99.603
36         (1 0 1 2 1 1 1)              99.614
37         (1 0 2 3 2 1 1)              99.624
38         (1 0 1 2 1 1 1)              99.634
39         (1 0 2 3 2 1 2)              99.643
40         (1 0 2 3 1 2 1)              99.652
41         (1 0 1 2 1 1 1)              99.660
42         (1 0 1 2 1 1 1)              99.668
43         (1 0 2 3 2 1 2)              99.675
44         (1 0 3 1 1 2 1)              99.683
45         (1 0 3 1 2 1 2)              99.689
46         (1 0 2 3 2 1 2)              99.696
47         (1 0 2 3 2 1 2)              99.702
48         (1 0 2 3 2 1 2)              99.708
49         (1 0 1 2 1 1 1)              99.714
50         (1 0 2 3 2 1 2)              99.720
51         (1 0 3 1 2 1 2)              99.725
52         (1 0 1 2 0 0 1)              99.730
53         (1 0 3 1 2 1 2)              99.735
54         (1 0 3 1 2 1 2)              99.740
55         (1 0 2 3 2 1 2)              99.745
56         (1 0 1 2 1 2 1)              99.499
57         (1 0 3 1 2 1 2)              99.507
58         (1 0 1 2 0 0 1)              99.516
59         (1 0 2 3 2 1 2)              99.524
60         (1 0 3 1 2 1 2)              99.532
61         (1 0 3 1 2 1 1)              99.539
62         (1 0 2 3 2 1 2)              99.546
63         (1 0 1 2 1 2 1)              99.554
64         (1 0 2 3 2 1 2)              99.560
65         (1 0 3 1 2 1 2)              99.351
66         (1 0 2 3 2 1 2)              99.360
67         (1 0 2 3 2 1 2)              99.370
68         (1 0 2 3 2 1 2)              99.379
69         (1 0 2 3 2 1 2)              99.388
70         (1 0 2 3 1 2 1)              99.396
71         (1 0 1 2 1 1 1)              99.405
72         (1 0 3 1 2 1 2)              99.217
73         (1 0 3 1 1 1 1)              98.842
74         (1 0 1 2 1 1 1)              98.857
