No         Predictions            Accuracy [%]
0          (1 0 2 3 2 1 2)             100.000
1          (1 0 3 1 2 1 2)             100.000
2          (1 0 3 1 2 1 2)              95.238
3          (1 0 2 3 2 1 2)              96.429
4          (1 0 2 3 2 1 2)              97.143
5          (1 0 3 1 2 1 2)              97.619
6          (1 0 3 1 2 1 2)              91.837
7          (1 0 3 1 2 1 2)              92.857
8          (1 0 0 0 1 2 0)              93.651
9          (1 0 2 3 2 1 2)              91.429
10         (1 0 2 3 2 1 2)              92.208
11         (1 0 2 3 2 1 2)              92.857
12         (1 0 2 3 2 1 2)              93.407
13         (1 0 3 1 2 1 2)              89.796
14         (1 0 0 0 2 2 1)              87.619
15         (1 0 2 3 2 1 2)              88.393
16         (1 0 2 3 2 1 2)              88.235
17         (1 0 2 3 2 1 2)              88.889
18         (1 0 1 2 1 1 1)              89.474
19         (1 0 2 3 2 1 2)              90.000
20         (1 0 2 3 2 1 2)              90.476
21         (1 0 3 1 2 1 2)              90.909
22         (0 0 1 2 2 2 1)              89.441
23         (1 0 2 3 2 1 2)              89.881
24         (1 0 2 3 2 1 2)              89.143
25         (1 0 2 3 2 1 2)              89.560
26         (1 0 2 3 2 1 2)              89.947
27         (1 0 2 3 2 1 2)              90.306
28         (1 0 2 3 2 2 1)              90.148
29         (1 0 1 2 1 1 1)              90.476
30         (0 0 4 5 2 2 1)              88.479
31         (1 0 3 1 2 1 2)              87.054
32         (1 0 2 3 2 1 2)              87.446
33         (1 0 2 3 2 1 2)              86.975
34         (1 0 2 3 2 1 2)              87.347
35         (1 0 2 3 2 1 2)              87.698
36         (1 0 1 2 1 1 1)              88.031
37         (1 0 3 1 2 1 2)              87.218
38         (1 0 1 2 1 1 1)              87.546
39         (1 0 3 1 2 1 2)              87.143
40         (1 0 3 1 2 1 2)              85.714
41         (1 0 1 2 1 1 1)              86.054
42         (0 0 1 2 1 1 1)              86.047
43         (1 0 2 3 2 1 2)              86.364
44         (1 0 1 2 0 0 0)              85.079
45         (1 0 3 1 2 1 2)              85.404
46         (1 0 2 3 2 1 2)              85.714
47         (1 0 2 3 2 1 2)              86.012
48         (1 0 2 3 2 1 2)              86.297
49         (0 0 1 2 2 2 1)              85.714
50         (1 0 2 3 2 1 2)              85.994
51         (1 0 3 1 2 1 2)              86.264
52         (1 0 1 2 0 0 1)              86.523
53         (1 0 3 1 2 1 2)              86.772
54         (1 0 3 1 2 1 2)              87.013
55         (1 0 2 3 2 1 2)              87.245
56         (1 0 1 2 1 1 1)              87.469
57         (1 0 3 1 2 1 2)              87.685
58         (1 0 1 2 0 0 1)              87.893
59         (1 0 3 1 2 1 2)              87.619
60         (1 0 3 1 2 1 2)              87.822
61         (1 0 3 1 2 1 2)              87.788
62         (1 0 2 3 2 1 2)              87.982
63         (1 0 1 2 1 2 1)              88.170
64         (1 0 2 3 2 1 2)              88.352
65         (1 0 3 1 2 1 2)              88.312
66         (1 0 2 3 2 1 2)              88.486
67         (1 0 2 3 2 1 2)              88.655
68         (1 0 4 5 2 2 2)              88.199
69         (1 0 2 3 2 1 2)              88.367
70         (1 0 1 2 1 2 1)              88.129
71         (1 0 1 2 1 1 1)              88.294
72         (1 0 3 1 2 1 1)              88.454
73         (1 0 3 1 2 1 2)              88.610
74         (1 0 1 2 1 1 1)              88.762
